Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
1871-01-31,4.44,0.26,0.4,12.46406116,5.32,101.75258799837276,5.958484882787594,9.16689981967322,
1871-02-28,4.5,0.26,0.4,12.84464132,5.323333333333333,100.07200419046033,5.781938019893264,8.895289261374252,
1871-03-31,4.61,0.26,0.4,13.0349719,5.326666666666667,101.02128566920807,5.697512857699371,8.765404396460571,
1871-04-30,4.74,0.26,0.4,12.55922645,5.33,107.80465543719852,5.9133355303104675,9.097439277400719,
1871-05-31,4.86,0.26,0.4,12.27381157,5.333333333333334,113.10423922370842,6.050844073696334,9.308990882609745,
1871-06-30,4.82,0.26,0.4,12.08348099,5.336666666666667,113.94021649385655,6.146152756930021,9.455619626046186,
1871-07-31,4.73,0.26,0.4,12.08348099,5.34,111.81270207799616,6.146152756930021,9.455619626046186,
1871-08-31,4.79,0.26,0.4,11.8932314,5.343333333333334,115.0423408057124,6.2444694383058925,9.606876058932142,
1871-09-30,4.84,0.26,0.4,12.17864628,5.346666666666668,113.5189616493238,6.098126039013262,9.38173236771271,
1871-10-31,4.59,0.26,0.4,12.36889587,5.3500000000000005,105.99950018012399,6.004328986237961,9.237429209596863,
1871-11-30,4.64,0.26,0.4,12.36889587,5.3533333333333335,107.1541788313236,6.004328986237961,9.237429209596863,
1871-12-31,4.74,0.26,0.4,12.65439174,5.3566666666666665,106.99392810167579,5.868865254522301,9.029023468495847,
1872-01-31,4.86,0.2633,0.4025,12.65439174,5.36,109.70263514222457,5.943354698137391,9.085454865173947,
1872-02-29,4.88,0.2667,0.405,12.65439174,5.378333333333333,110.15408631564934,6.020101397619606,9.141886261852045,
1872-03-31,5.04,0.27,0.4075,12.84464132,5.3966666666666665,112.08064469331559,6.004320251427621,9.06207593502502,
1872-04-30,5.18,0.2733,0.41,13.13013719,5.415000000000001,112.68926886208719,5.945555440156068,8.919420894489527,
1872-05-31,5.18,0.2767,0.4125,13.13013719,5.433333333333334,112.68926886208719,6.019521369525005,8.973807607260804,
1872-06-30,5.13,0.28,0.415,13.0349719,5.451666666666666,112.41631138460681,6.1357830775224,9.094107061327842,
1872-07-31,5.1,0.2833,0.4175,12.84464132,5.470000000000001,113.41493808252172,6.3000886193683145,9.284458166559377,
1872-08-31,5.04,0.2867,0.42,12.93980661,5.488333333333333,111.25635207619229,6.3288087579849845,9.271362673016023,
1872-09-30,4.95,0.29,0.4225,13.0349719,5.506666666666667,108.47187940619958,6.354918187433913,9.258458393761476,
1872-10-31,4.97,0.2933,0.425,12.74947603,5.5249999999999995,111.34894772612861,6.571156210879986,9.521791304548222,
1872-11-30,4.95,0.2967,0.4275,13.13013719,5.543333333333333,107.68569128712967,6.454615071695227,9.30012788388847,
1872-12-31,5.07,0.3,0.43,12.93980661,5.5616666666666665,111.918592267122,6.622401909297159,9.492109403325928,
1873-01-31,5.11,0.3025,0.4325,12.93980661,5.58,112.80157918836163,6.677588591874636,9.547296085903405,
1873-02-28,5.15,0.305,0.435,13.22522149,5.570833333333334,111.23112766862253,6.587474551248517,9.39525058948559,
1873-03-31,5.11,0.3075,0.4375,13.22522149,5.561666666666666,110.3671965799342,6.641470244291538,9.44924628252861,
1873-04-30,5.04,0.31,0.44,13.22522149,5.552499999999999,108.85531717472962,6.695465937334559,9.503241975571632,
1873-05-31,5.05,0.3125,0.4425,12.93980661,5.543333333333333,111.47709880650217,6.898335322184541,9.76804281621331,
1873-06-30,4.98,0.315,0.445,12.55922645,5.534166666666667,113.26311900363896,7.164233430953066,10.1209011961083,
1873-07-31,4.97,0.3175,0.4475,12.55922645,5.525,113.03568302170392,7.221092426436821,10.177760191592053,
1873-08-31,4.97,0.32,0.45,12.55922645,5.515833333333333,113.03568302170392,7.277951421920575,10.23461918707581,
1873-09-30,4.59,0.3225,0.4525,12.55922645,5.506666666666667,104.39311570817324,7.33481041740433,10.291478182559564,
1873-10-31,4.19,0.325,0.455,12.27381157,5.4975000000000005,97.5116794953371,7.563555092120419,10.588977128968585,
